# operationId reconciliation — generated by gen_operation_id_reconciliation.php
# sources: R=route_inventory.txt (local snapshot of N)  S=next/.cache/swagger/openapi.yml  P=public_next/.../endpoints
# count.routes_total=377
# count.spec_paths=300
# count.spec_ops=347
# count.routes_in_spec=345
# count.routes_absent_in_spec=32
# count.spec_absent_in_routes=2
# count.explicit=40
# count.method_fallback=306
# count.spec_only=1
# count.missing=32
# count.in_p_client=347
# count.spec_in_p=347
# count.spec_not_in_p=0
# count.p_not_in_spec=0
# count.explicit_fn_matches_opid=40
# count.explicit_fn_mismatch=0
METHOD	path	controller::method	present_in_legacy_spec	legacy_operation_id	id_source	generated_function	generated_query_key	canonical_id
DELETE	/api/achievements/delete-level/{uuid}	SpsNext\Achievements\Controllers\AchievementController::deleteAchievementLevel	Y	-	method-fallback	deleteApiAchievementsDeleteLevelUuid	deleteApiAchievementsDeleteLevelUuid	deleteAchievementLevel
DELETE	/api/achievements/{uuid}	SpsNext\Achievements\Controllers\AchievementController::delete	N	-	missing	-	-	delete
DELETE	/api/achievements/{uuid}/pick	SpsNext\Achievements\Controllers\AchievementController::Pick	N	-	missing	-	-	Pick
DELETE	/api/admin/employees/{code_1c}/access-roles/{role_id}	SpsNext\Auth\AccessRules\Controllers\AccessRulesController::deleteAdminEmployeeAccessRole	Y	deleteAdminEmployeeAccessRole	explicit	deleteAdminEmployeeAccessRole	deleteAdminEmployeeAccessRole	deleteAdminEmployeeAccessRole
DELETE	/api/auth/devices	SpsNext\Auth\AuthController::revokeOtherDevices	Y	revokeOtherDevices	explicit	revokeOtherDevices	revokeOtherDevices	revokeOtherDevices
DELETE	/api/auth/devices/{deviceId}	SpsNext\Auth\AuthController::revokeDevice	Y	revokeDevice	explicit	revokeDevice	revokeDevice	revokeDevice
DELETE	/api/driver/delete	SpsNext\WorkSheets\Vehicle\Controllers\DriverOldController::deleteDriver	Y	-	method-fallback	deleteApiDriverDelete	deleteApiDriverDelete	deleteDriver
DELETE	/api/infostand/file/{uuid}	SpsNext\InfoStand\Controllers\InfoStandController::deleteFile	Y	-	method-fallback	deleteApiInfostandFileUuid	deleteApiInfostandFileUuid	deleteFile
DELETE	/api/infostand/{uuid}	SpsNext\InfoStand\Controllers\InfoStandController::removeRecord	Y	-	method-fallback	deleteApiInfostandUuid	deleteApiInfostandUuid	removeRecord
DELETE	/api/knowledge-base/file/{uuid}	SpsNext\KnowLedgeBase\KnowledgeBaseRestFullController::deleteFile	Y	-	method-fallback	deleteApiKnowledgeBaseFileUuid	deleteApiKnowledgeBaseFileUuid	deleteFile
DELETE	/api/knowledge-base/{uuid}	SpsNext\KnowLedgeBase\KnowledgeBaseRestFullController::deleteRecord	Y	-	method-fallback	deleteApiKnowledgeBaseUuid	deleteApiKnowledgeBaseUuid	deleteRecord
