# Route inventory — lk.sps38.pro/next, generated from .cache/compiled_routes.php
# total=377  generated_at=2026-07-15  source=next/.cache/compiled_routes.php (read-only)
# columns: METHOD	path	controller::method	hasDto	hasAccessRules	hasMiddlewares	hasPhpIni
DELETE	/api/achievements/delete-level/{uuid}	SpsNext\Achievements\Controllers\AchievementController::deleteAchievementLevel	-	-	-	-
DELETE	/api/achievements/{uuid}	SpsNext\Achievements\Controllers\AchievementController::delete	-	-	-	-
DELETE	/api/achievements/{uuid}/pick	SpsNext\Achievements\Controllers\AchievementController::Pick	-	-	-	-
DELETE	/api/admin/employees/{code_1c}/access-roles/{role_id}	SpsNext\Auth\AccessRules\Controllers\AccessRulesController::deleteAdminEmployeeAccessRole	-	Y	-	-
DELETE	/api/auth/devices	SpsNext\Auth\AuthController::revokeOtherDevices	-	-	-	-
DELETE	/api/auth/devices/{deviceId}	SpsNext\Auth\AuthController::revokeDevice	-	-	-	-
DELETE	/api/driver/delete	SpsNext\WorkSheets\Vehicle\Controllers\DriverOldController::deleteDriver	Y	-	-	-
DELETE	/api/infostand/file/{uuid}	SpsNext\InfoStand\Controllers\InfoStandController::deleteFile	-	Y	-	-
DELETE	/api/infostand/{uuid}	SpsNext\InfoStand\Controllers\InfoStandController::removeRecord	-	-	-	-
DELETE	/api/knowledge-base/file/{uuid}	SpsNext\KnowLedgeBase\KnowledgeBaseRestFullController::deleteFile	-	Y	-	-
DELETE	/api/knowledge-base/{uuid}	SpsNext\KnowLedgeBase\KnowledgeBaseRestFullController::deleteRecord	-	-	-	-
DELETE	/api/lk/times/policies/{uuid}	SpsNext\LK\Times\Controllers\TimesController::deletePolicy	-	Y	-	-
DELETE	/api/lk/times/schedules/{uuid}	SpsNext\LK\Times\Controllers\TimesController::deleteSchedule	-	Y	-	-
DELETE	/api/locations/properties	SpsNext\Location\Controllers\LocationController::deleteLocationProperty	Y	-	-	-
DELETE	/api/locations/roles	SpsNext\Location\Controllers\LocationController::deleteLocationRole	Y	-	-	-
DELETE	/api/news/comments/{comment-uuid}	SpsNext\LK\News\Controllers\NewsCommentController::deleteComment	-	-	-	-
DELETE	/api/news/comments/{comment-uuid}/like	SpsNext\LK\News\Controllers\NewsCommentController::deleteLike	-	-	-	-
DELETE	/api/news/tags/uuid/{tag-uuid}	SpsNext\LK\News\Controllers\NewsTagController::deleteTag	-	-	-	-
DELETE	/api/news/{slug}	SpsNext\LK\News\Controllers\NewsController::deleteNewsBySlug	-	Y	-	-
DELETE	/api/news/{slug}/like	SpsNext\LK\News\Controllers\NewsController::deleteLikeBySlug	-	-	-	-
DELETE	/api/notifications/push-subscriptions	SpsNext\LK\Notifications\Controllers\NotificationsController::revokePushSubscription	Y	Y	-	-
DELETE	/api/notifications/{uuid}	SpsNext\LK\Notifications\Controllers\NotificationsController::deleteBroadcast	-	Y	-	-
DELETE	/api/phone-book/note/{code_1c}	SpsNext\PhoneBook\Controllers\PhoneBookController::deleteNote	-	-	-	-
DELETE	/api/phone-book/pinned/{code_1c}	SpsNext\PhoneBook\Controllers\PhoneBookController::unpinnedUser	-	Y	-	-
DELETE	/api/queue/worker/{workerId}/clear	SpsFW\Core\Queue\Controllers\QueueManagerController::clearWorker	-	-	-	-
DELETE	/api/release-update/tags/{tagId}	SpsNext\LK\ReleaseUpdate\Controllers\TagController::delete	-	-	-	-
DELETE	/api/release-update/{id}	SpsNext\LK\ReleaseUpdate\Controllers\ReleaseUpdateController::delete	-	-	-	-
DELETE	/api/release-update/{id}/remove-tag	SpsNext\LK\ReleaseUpdate\Controllers\ReleaseUpdateController::removeTagFromUpdate	Y	-	-	-
DELETE	/api/ticket/{uuid}	SpsNext\LK\Tickets\Controllers\TicketsController::delete	-	-	-	-
DELETE	/api/vehicle/image/{uuid}	SpsNext\WorkSheets\Vehicle\Controllers\VehicleController::deleteVehicleImage	-	-	-	-
